com.samsung.shealth.exercise.weather,6320001,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,0,2016-12-03 07:50:20.353,37.528755,,NNE. 23.0,Sunny,0,0,AccuWeather,2016-12-03 07:50:20.361,2016-12-03 07:50:20.361,1,126.9649,50.0,40,UTC+0900,uVwC9SChYX,66b085bc-4530-4746-9238-acef4cc5967b,com.sec.android.app.shealth,mi/h,0,2.3,1,33936d16-d2e7-4cb6-ab00-5df7ae6372ed,
0.0,0,2016-12-08 10:44:12.192,37.52717,,S. 180.0,Rain,0,0,AccuWeather,2016-12-08 10:44:12.197,2016-12-08 10:44:12.197,1,126.875015,43.0,60,UTC+0900,uVwC9SChYX,5a8bc389-0af7-453e-b6c5-36661a03420f,com.sec.android.app.shealth,mi/h,0,8.1,7,1699ccdc-c5ae-4db2-a1b1-74a1f01376d9,
0.0,0,2016-12-09 00:23:09.057,37.45132,,NNW. 338.0,Partly sunny,0,0,AccuWeather,2016-12-09 00:23:09.181,2016-12-09 00:23:09.181,1,126.448746,37.0,75,UTC+0900,uVwC9SChYX,a8070981-ace7-4198-9703-4c3f8848f414,com.sec.android.app.shealth,mi/h,0,16.1,4,e2beb285-237e-4ee6-8d5c-b75c1366bff7,
0.0,0,2016-12-31 14:07:10.085,37.535877,,SSW. 203.0,Light fog,0,0,AccuWeather,2016-12-31 14:07:10.089,2016-12-31 14:07:10.089,1,126.97329,36.0,69,UTC+0900,uVwC9SChYX,9fb53675-1dba-4322-8120-a5eeba05f878,com.sec.android.app.shealth,mi/h,0,3.5,13,c4951934-7736-404f-809e-471f9e425696,
0.0,0,2016-12-31 19:34:36.129,37.53521,,SSE. 158.0,Light fog,0,0,AccuWeather,2016-12-31 19:34:36.133,2016-12-31 19:34:36.133,1,126.99851,27.0,79,UTC+0900,uVwC9SChYX,2080d0fb-2a0b-4318-a4aa-33c93643671e,com.sec.android.app.shealth,mi/h,0,4.6,13,4ef42751-72f2-48ea-b2e7-2506545d4006,
0.0,0,2017-01-04 06:24:11.999,37.538944,,WNW. 293.0,Sunny,0,0,AccuWeather,2017-01-04 06:24:12.003,2017-01-04 06:24:12.003,1,126.98865,48.0,27,UTC+0900,uVwC9SChYX,dd702f66-467c-4eef-8020-453472d150f4,com.sec.android.app.shealth,mi/h,0,8.1,1,ef781d58-0062-4d06-9f80-56350f5ef61b,
0.0,0,2017-01-04 08:03:56.930,37.534454,,NNW. 338.0,Sunny,0,0,AccuWeather,2017-01-04 08:03:56.933,2017-01-04 08:03:56.933,1,126.9889,46.0,29,UTC+0900,uVwC9SChYX,997a3324-5ccf-42fb-85aa-220027d3fb91,com.sec.android.app.shealth,mi/h,0,10.4,1,74e804e0-5fa9-4c7d-943a-edfcb5610977,
0.0,0,2017-01-05 15:02:24.556,37.550106,,E. 90.0,Clear,0,0,AccuWeather,2017-01-05 15:02:24.560,2017-01-05 15:02:24.560,1,126.92312,43.0,48,UTC+0900,uVwC9SChYX,36c8ad31-7248-4fab-a189-7f66191b9167,com.sec.android.app.shealth,mi/h,0,12.7,10,2a4525fb-74a0-4be5-a603-448cd95931e8,
0.0,0,2017-01-06 14:20:36.276,37.534946,,NNW. 338.0,Clear,0,0,AccuWeather,2017-01-06 14:20:36.287,2017-01-06 14:20:36.287,1,126.98655,32.0,74,UTC+0900,uVwC9SChYX,ddbf62e5-f314-47d0-8cea-1f76c6b017d3,com.sec.android.app.shealth,mi/h,0,2.3,10,23ab58ce-db14-4443-b201-698b5beb02c3,
0.0,0,2017-01-08 02:12:27.397,37.5225,,N. 0.0,Sunny,0,0,AccuWeather,2017-01-08 02:12:27.400,2017-01-08 02:12:27.400,1,127.039154,43.0,65,UTC+0900,uVwC9SChYX,c1c7c2c4-6ab8-4605-bf1f-daed2829ab58,com.sec.android.app.shealth,mi/h,0,3.5,1,6f620d0d-0e8c-4c49-bf76-2e109198b9d1,
0.0,0,2017-01-11 07:27:06.546,37.536377,,NNW. 338.0,Partly sunny,0,0,AccuWeather,2017-01-11 07:27:06.551,2017-01-11 07:27:06.551,1,126.896904,34.0,27,UTC+0900,uVwC9SChYX,3f0ea0f1-f6bb-4cd3-b319-6ee260116541,com.sec.android.app.shealth,mi/h,0,9.2,4,f58800e8-da93-4939-8642-2ddbb6c4b70c,
0.0,0,2017-01-13 00:08:57.251,37.513435,,NW. 315.0,Mostly cloudy,0,0,AccuWeather,2017-01-13 00:08:57.254,2017-01-13 00:08:57.254,1,127.12657,21.0,38,UTC+0900,uVwC9SChYX,defc2b1e-268a-4aa7-96c8-efe768cad64b,com.sec.android.app.shealth,mi/h,0,3.5,20,2194f0a2-81af-48ae-845e-83fa9a0101fd,
0.0,0,2017-01-13 06:42:24.194,37.527485,,WNW. 293.0,Partly sunny,0,0,AccuWeather,2017-01-13 06:42:24.227,2017-01-13 06:42:24.227,1,127.13633,30.0,31,UTC+0900,uVwC9SChYX,6e4e7ace-66af-4905-94c5-8bdd1eabc432,com.sec.android.app.shealth,mi/h,0,16.1,4,d59d2491-de4f-414e-8ab4-c5426a812d85,
0.0,0,2017-01-16 12:36:08.861,37.549587,,NNE. 23.0,Clear,0,0,AccuWeather,2017-01-16 12:36:08.862,2017-01-16 12:36:08.862,1,126.86375,27.0,54,UTC+0900,uVwC9SChYX,ded919b8-3b5c-46b1-b970-ac2c372a5dfd,com.sec.android.app.shealth,mi/h,0,3.5,10,92220e3e-70a8-4b6a-a752-44454b7b5e8b,
0.0,0,2017-01-22 03:11:36.740,37.56255,,NW. 315.0,Sunny,0,0,AccuWeather,2017-01-22 03:11:36.743,2017-01-22 03:11:36.743,1,126.98403,18.0,41,UTC+0900,uVwC9SChYX,b67591bd-0d63-4df5-8525-03b98b9bad19,com.sec.android.app.shealth,mi/h,0,13.8,1,c13c286d-611d-4983-bd3d-dccd3d762a87,
0.0,0,2017-01-22 12:54:03.414,37.549374,,NNW. 338.0,Clear,0,0,AccuWeather,2017-01-22 12:54:03.418,2017-01-22 12:54:03.418,1,126.86753,14.0,48,UTC+0900,uVwC9SChYX,88ad0db8-b719-4865-b55d-7fcac5fb3859,com.sec.android.app.shealth,mi/h,0,8.1,10,8fc19bf7-e69b-499e-8cda-cf72794f3e27,
0.0,0,2017-02-07 11:02:37.902,37.55021,,NW. 315.0,Clear,0,0,AccuWeather,2017-02-07 11:02:37.927,2017-02-07 11:02:37.927,1,126.923035,30.0,40,UTC+0900,uVwC9SChYX,ba828614-bd1f-4edb-9bbe-108ae42a3d52,com.sec.android.app.shealth,mi/h,0,6.9,10,65a709e2-cfe4-47fd-9a4e-226ac326ac86,
0.0,0,2017-02-07 11:42:32.034,37.55063,,WNW. 293.0,Clear,0,0,AccuWeather,2017-02-07 11:42:32.036,2017-02-07 11:42:32.036,1,126.92039,30.0,40,UTC+0900,uVwC9SChYX,a2fa79a7-4d8a-4766-995b-25825dacebc5,com.sec.android.app.shealth,mi/h,0,5.8,10,0e12fad3-71fe-43a8-8ff4-99d8344e350d,
0.0,0,2017-02-07 12:25:54.647,37.552807,,NW. 315.0,Clear,0,0,AccuWeather,2017-02-07 12:25:55.373,2017-02-07 12:25:55.373,1,126.92173,28.0,43,UTC+0900,uVwC9SChYX,856dae72-4b73-49b7-93f6-8709ecc9ac3b,com.sec.android.app.shealth,mi/h,0,2.3,10,cb4ad456-443b-42fa-8832-af47e71b490e,
0.0,0,2017-02-10 08:14:16.725,37.53943,,WNW. 293.0,Partly sunny,0,0,AccuWeather,2017-02-10 08:14:16.729,2017-02-10 08:14:16.729,1,126.90073,28.0,28,UTC+0900,uVwC9SChYX,53d8e3d0-e300-42d2-8090-caf15fb6812d,com.sec.android.app.shealth,mi/h,0,15.0,4,cc632314-80eb-43e9-a6dc-638f8e28af5c,
0.0,0,2017-02-16 12:53:48.818,37.549038,,SSW. 203.0,Cloudy,0,0,AccuWeather,2017-02-16 12:53:48.821,2017-02-16 12:53:48.821,1,126.91195,50.0,71,UTC+0900,uVwC9SChYX,068eb5d3-6086-4928-8a21-3abc2d624c6f,com.sec.android.app.shealth,mi/h,0,9.2,20,6bc9e209-57a2-45ea-aaa4-88c35d7eab64,
0.0,0,2017-02-18 11:12:22.292,37.499485,,SSW. 203.0,Partly cloudy,0,0,AccuWeather,2017-02-18 11:12:22.500,2017-02-18 11:12:22.500,1,127.0259,34.0,53,UTC+0900,uVwC9SChYX,2af2b9f0-9e03-4b64-8a00-c4c9aceb148a,com.sec.android.app.shealth,mi/h,0,1.6,11,000e818a-6757-4c46-8383-7c7f5fd997b9,
0.0,0,2017-02-19 07:33:43.376,37.55331,,SSE. 158.0,Cloudy,0,0,AccuWeather,2017-02-19 07:33:43.383,2017-02-19 07:33:43.383,1,126.92144,43.0,43,UTC+0900,uVwC9SChYX,d68b1574-9957-45ee-8bac-e6e5283b1102,com.sec.android.app.shealth,mi/h,0,5.4,20,aef365f3-acdf-445e-a346-d14898dd54b9,
0.0,0,2017-02-21 13:05:10.075,37.535103,,SW. 225.0,Clear,0,0,AccuWeather,2017-02-21 13:05:10.080,2017-02-21 13:05:10.080,1,126.98672,37.0,43,UTC+0900,uVwC9SChYX,71f14705-be7c-4fd6-a13d-9c627c61e001,com.sec.android.app.shealth,mi/h,0,1.2,10,1135d417-c1e3-45c5-b229-1eaa5a5eacf5,
0.0,0,2017-02-24 15:02:46.146,37.52113,,SSE. 158.0,Clear,0,0,AccuWeather,2017-02-24 15:02:46.156,2017-02-24 15:02:46.156,1,126.8851,34.0,54,UTC+0900,uVwC9SChYX,ddda1c85-0d04-4f56-9470-787c13e5efec,com.sec.android.app.shealth,mi/h,0,1.7,10,d6501677-bec4-4c2c-aa8c-710b032cd72a,
0.0,0,2017-02-25 05:47:32.831,37.535007,,SW. 225.0,Partly sunny,0,0,AccuWeather,2017-02-25 05:47:32.843,2017-02-25 05:47:32.843,1,126.99788,45.0,34,UTC+0900,uVwC9SChYX,80d5151a-c574-4396-a8d4-9b2893ed9295,com.sec.android.app.shealth,mi/h,0,11.9,4,97ab47d4-6b50-419b-8492-83e5058482b9,
0.0,0,2017-02-25 10:22:32.468,37.549427,,SSW. 203.0,Partly cloudy,0,0,AccuWeather,2017-02-25 10:22:32.481,2017-02-25 10:22:32.481,1,126.91363,39.0,53,UTC+0900,uVwC9SChYX,9eb6839d-5b43-417f-8ecb-582ba703116b,com.sec.android.app.shealth,mi/h,0,4.5,11,ecfe3e42-bca6-4cab-ad31-78f95733add6,
0.0,0,2017-03-05 09:42:19.192,37.55859,,W. 270.0,Mostly cloudy,0,0,AccuWeather,2017-03-05 09:42:19.195,2017-03-05 09:42:19.195,1,126.9235,43.0,66,UTC+0900,uVwC9SChYX,4c6a8024-c23c-4437-8c00-58fb2f71929e,com.sec.android.app.shealth,mi/h,0,8.2,20,1cea7f5e-a186-4de5-89c2-4ded003aed73,
0.0,0,2017-03-11 06:55:27.110,37.55858,,NW. 315.0,Sunny,0,0,AccuWeather,2017-03-11 06:55:27.113,2017-03-11 06:55:27.113,1,126.91081,59.0,17,UTC+0900,uVwC9SChYX,b16bf63d-7982-4f7d-b08b-e4bd24421c0f,com.sec.android.app.shealth,mi/h,0,6.6,1,8e4bcd14-23aa-4845-826d-8fce19a40be8,
0.0,0,2017-03-11 09:10:19.580,37.55165,,NW. 315.0,Sunny,0,0,AccuWeather,2017-03-11 09:10:19.585,2017-03-11 09:10:19.585,1,126.91238,51.0,34,UTC+0900,uVwC9SChYX,6d9c57ca-e519-45e0-b119-895bb6b5ebc6,com.sec.android.app.shealth,mi/h,0,4.5,1,965a3c3a-746e-479e-aa0a-49f7e6d81a4e,
0.0,0,2017-03-15 15:09:44.299,37.549095,,W. 270.0,Clear,0,0,AccuWeather,2017-03-15 15:09:44.304,2017-03-15 15:09:44.304,1,126.91308,40.0,43,UTC+0900,uVwC9SChYX,ccc67360-8224-4547-8ce6-6cfc346dbf37,com.sec.android.app.shealth,mi/h,0,2.7,10,9bec1be8-f3b8-439a-859c-2d1be46b3eee,
0.0,0,2017-03-18 15:20:40.808,37.534744,,SSW. 203.0,Clear,0,0,AccuWeather,2017-03-18 15:20:40.830,2017-03-18 15:20:40.830,1,126.99633,46.0,47,UTC+0900,uVwC9SChYX,fed3ee84-e9ec-4883-9818-135b99ba485d,com.sec.android.app.shealth,mi/h,0,4.1,10,9baf0253-4720-4267-b9d5-7bce5928a554,
0.0,0,2017-03-19 14:28:17.986,37.532932,,SW. 225.0,Clear,0,0,AccuWeather,2017-03-19 14:28:17.988,2017-03-19 14:28:17.988,1,126.90073,54.0,40,UTC+0900,uVwC9SChYX,25a91fb7-369f-43ad-b92d-37ec88849dca,com.sec.android.app.shealth,mi/h,0,0.4,10,8763ebf0-6c9e-4368-8adf-bbdaa739cf70,
