com.samsung.shealth.stand_day_summary,6320001,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,0,,2019-07-06 15:00:04.128,2019-07-06 15:00:04.128,6fBBpnPaJ6,com.sec.android.app.shealth,bc19cefc-df62-e417-d8ef-33b839f267e4,1562457600000,
,2129920,,2019-07-08 12:30:23.784,2019-07-07 15:00:06.331,6fBBpnPaJ6,com.sec.android.app.shealth,59f1049b-65c2-e22e-bb30-c5922466394f,1562544000000,
,1179648,,2019-07-09 11:05:14.320,2019-07-08 15:00:05.940,6fBBpnPaJ6,com.sec.android.app.shealth,b7962d61-38b0-5ef3-ca9c-cd2ac1169b09,1562630400000,
,3178496,,2019-07-10 12:03:32.454,2019-07-09 15:00:06.724,6fBBpnPaJ6,com.sec.android.app.shealth,249b7239-7582-d99b-7bed-0fecc2b2765b,1562716800000,
,0,,2019-07-10 15:00:04.407,2019-07-10 15:00:04.406,6fBBpnPaJ6,com.sec.android.app.shealth,68eea586-3f2d-cb84-0fe7-123ff4858565,1562803200000,
,1245184,,2019-07-12 11:07:39.348,2019-07-11 15:00:03.500,6fBBpnPaJ6,com.sec.android.app.shealth,070f74a3-dac6-d1bf-44b0-e704dc2aab31,1562889600000,
,0,,2019-07-12 15:00:06.281,2019-07-12 15:00:06.281,6fBBpnPaJ6,com.sec.android.app.shealth,0ab90df0-959e-f913-2d62-e3ba307a7ee2,1562976000000,
,8192,,2019-07-14 04:12:24.380,2019-07-13 15:00:08.761,6fBBpnPaJ6,com.sec.android.app.shealth,86d150d3-af58-9711-5cb7-8ced784ad553,1563062400000,
,688128,,2019-07-15 10:09:51.353,2019-07-14 15:00:04.517,6fBBpnPaJ6,com.sec.android.app.shealth,f62a90db-0a96-351e-b598-b849edab6a12,1563148800000,
,1441792,,2019-07-16 11:02:54.257,2019-07-15 15:00:05.933,6fBBpnPaJ6,com.sec.android.app.shealth,77c785ac-8581-aab7-dd95-cbba4ae07f82,1563235200000,
,1376256,,2019-07-17 11:36:16.086,2019-07-16 15:00:06.700,6fBBpnPaJ6,com.sec.android.app.shealth,46ba3e2e-4123-ceed-17b3-ca1839077906,1563321600000,
,360448,,2019-07-18 09:54:21.426,2019-07-17 15:00:05.144,6fBBpnPaJ6,com.sec.android.app.shealth,35cadfc7-af96-1e94-693b-73d03444b07a,1563408000000,
,3211264,,2019-07-19 12:54:18.478,2019-07-18 15:00:04.893,6fBBpnPaJ6,com.sec.android.app.shealth,e102f80d-2d59-fb47-de23-4ece8fb54f09,1563494400000,
,524288,,2019-07-20 10:05:06.392,2019-07-19 15:00:02.911,6fBBpnPaJ6,com.sec.android.app.shealth,d99c1b30-2fe7-bb0c-a478-b160251960b1,1563580800000,
,589826,,2019-07-21 10:36:53.449,2019-07-20 15:00:04.488,6fBBpnPaJ6,com.sec.android.app.shealth,502dc4d2-ede7-7d13-ff9c-47b50e99e657,1563667200000,
,2424832,,2019-07-22 12:51:26.300,2019-07-21 15:00:08.794,6fBBpnPaJ6,com.sec.android.app.shealth,ad337554-3195-5f7f-8e6e-20a8e205618f,1563753600000,
,8978432,,2019-07-23 14:25:47.373,2019-07-22 15:00:05.684,6fBBpnPaJ6,com.sec.android.app.shealth,5c15d14e-0e31-b966-4458-eec977244ffb,1563840000000,
,65540,,2019-07-24 07:06:28.419,2019-07-23 15:00:05.567,6fBBpnPaJ6,com.sec.android.app.shealth,dcb38b7d-e8f2-20b7-9630-e90fbf69da5e,1563926400000,
,1376256,,2019-07-25 11:45:03.379,2019-07-24 15:00:04.361,6fBBpnPaJ6,com.sec.android.app.shealth,09d9b387-61fa-50df-3358-fc8ff7672336,1564012800000,
,593920,,2019-07-26 10:19:45.249,2019-07-25 15:00:05.401,6fBBpnPaJ6,com.sec.android.app.shealth,9aa44c13-5132-b8d8-21b2-91c1f637950b,1564099200000,
,271360,,2019-07-27 09:07:44.382,2019-07-26 15:00:04.112,6fBBpnPaJ6,com.sec.android.app.shealth,00b2a296-1756-4a5e-d15d-849369f61bf2,1564185600000,
,9699333,,2019-07-28 14:31:59.306,2019-07-27 15:00:06.725,6fBBpnPaJ6,com.sec.android.app.shealth,273bf913-a2e3-3ac1-d80a-db216c4a8eec,1564272000000,
,3620864,,2019-07-29 12:30:19.345,2019-07-28 15:00:02.719,6fBBpnPaJ6,com.sec.android.app.shealth,25b8c831-51db-dc5a-33a7-21d328dcfc47,1564358400000,
,8683520,,2019-07-30 14:01:39.963,2019-07-29 15:00:04.610,6fBBpnPaJ6,com.sec.android.app.shealth,79f0ad4e-cde4-f01e-5cbf-0393f0bf0bbf,1564444800000,
,0,,2019-07-30 15:00:07.557,2019-07-30 15:00:07.557,6fBBpnPaJ6,com.sec.android.app.shealth,d9fe3289-c2fb-4955-27c4-d7a00d9e8045,1564531200000,
,5570560,,2019-08-01 13:38:06.364,2019-07-31 15:00:04.088,6fBBpnPaJ6,com.sec.android.app.shealth,aa8aad63-fa3b-9b25-9536-a9d3b37fdcda,1564617600000,
,0,,2019-08-01 15:01:13.750,2019-08-01 15:01:13.750,6fBBpnPaJ6,com.sec.android.app.shealth,b5be5391-e1eb-d081-3dd1-047f0b95f070,1564704000000,
,8781824,,2019-08-03 14:34:31.350,2019-08-02 15:00:05.840,6fBBpnPaJ6,com.sec.android.app.shealth,4971b4ec-6642-21eb-4ccd-ddc43a2fdcb8,1564790400000,
,8192,,2019-08-04 04:05:44.327,2019-08-03 15:00:09.652,6fBBpnPaJ6,com.sec.android.app.shealth,29ee156b-0357-07b3-1e36-e4f0be27a38a,1564876800000,
,0,,2019-08-04 15:00:04.204,2019-08-04 15:00:04.204,6fBBpnPaJ6,com.sec.android.app.shealth,4842f102-4210-3a09-30bd-de85e1642cdc,1564963200000,
