com.samsung.shealth.program.sleep_coaching.mission,6320001,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
62600630,null,7,62900750,2025-01-22 09:40:24.136,2024-01-17 13:09:48.366,2,6,HB_07,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,7c537e5f-fbde-4984-9ff8-09978bd115e5,3,
62600630,null,3,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,6,HB_03,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,63650a0b-4ecf-4e62-bd4b-29826f6ce62e,0,
62600630,null,5,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,6,HB_05,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,9f27a7a0-c093-4195-b787-17a53330c50e,0,
62600630,null,6,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,6,HB_06,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,42eea94e-d193-475b-8eeb-19957ae421cc,0,
62600630,null,8,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,6,HB_08,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,81da2d97-8885-49aa-a4e5-550999bc5188,0,
62600630,null,9,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,6,HB_09,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,f5fa07d6-33b6-4047-8da8-f6def5e59b3f,0,
62600630,null,1,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,7,HB_01,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,44ffa73d-8375-4082-bfbe-1d5200caa27a,0,
62600630,null,7,62900750,2025-01-22 09:40:23.724,2024-01-17 13:09:48.366,2,7,HB_07,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,c4c6a68b-5dbf-498f-95f6-09de1494fdc7,3,
62600630,null,3,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,7,HB_03,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,02264bfb-05d4-41b2-a886-7c053f497fd8,0,
62600630,null,5,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,7,HB_05,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,79dac380-5efc-4474-8a5a-6b5daa292a2e,0,
62600630,null,6,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,7,HB_06,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,3cf0afda-e910-45dd-be0a-94d4763b5039,0,
62600630,null,8,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,7,HB_08,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,a46c3cdc-a821-4980-9923-c60a49ac5eda,0,
62600630,null,9,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,7,HB_09,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,44a9448e-ac29-46d5-afd2-fdac7d79967f,0,
62600630,null,1,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,8,HB_01,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,ee0a3b39-fc1a-45c0-958f-0ec7693e1c26,0,
62600630,null,7,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,8,HB_07,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,8a06e15d-1179-4bcc-a692-df263f284ad4,0,
62600630,null,3,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,8,HB_03,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,cfddb239-812a-47de-b26d-7f218f4c5e0a,0,
62600630,null,5,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,8,HB_05,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,9bbe7355-c481-4979-85e8-8e2ea18c7f33,0,
62600630,null,6,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,8,HB_06,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,2fd44aad-4840-4844-9559-098ef5f0d051,0,
62600630,null,8,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,8,HB_08,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,da62bc85-0abe-406a-9a43-c3d3a6d9e3c8,0,
62600630,null,9,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,8,HB_09,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,1fb1a5cb-1d31-4f65-8100-294e723f4563,0,
62600630,null,1,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,9,HB_01,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,cf0f7eb7-1515-4a8e-a94c-b41f327c66ae,0,
62600630,null,7,62900750,2025-01-22 09:40:22.949,2024-01-17 13:09:48.367,2,9,HB_07,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,7456a193-3e4c-46fd-aae3-147f7a318f9a,3,
62600630,null,3,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,9,HB_03,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,6490e456-7e8e-4f0b-b619-dcd3157c088b,0,
62600630,null,5,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,9,HB_05,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,8f689b61-51ab-49f6-a022-0d488613a14d,0,
62600630,null,6,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,9,HB_06,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,87d4748a-7f90-4f81-afd0-e261518d80c7,0,
62600630,null,8,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,9,HB_08,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,49d572d8-0c56-4538-be7e-0e6601638786,0,
62600630,null,9,62600630,2024-01-17 13:09:48.367,2024-01-17 13:09:48.367,2,9,HB_09,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,60119471-b1df-48fe-b71b-a1ce6c527876,0,
62600630,null,1,62610110,2024-01-28 05:37:32.343,2024-01-17 13:09:48.367,2,10,HB_01,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,716e81ca-1ddb-4a3d-8ae1-f77f232259c4,1,
