com.samsung.health.oxygen_saturation.raw,6320001,1
start_time,binning_data,update_time,create_time,is_integrated,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2026-04-22 21:20:00.000,b2fb6f1d-794e-422a-908c-9ac492d139f5.binning_data.json,2026-04-22 22:27:38.494,2026-04-22 22:27:38.494,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2026-04-22 22:03:00.000,b2fb6f1d-794e-422a-908c-9ac492d139f5,
2026-04-23 13:45:00.000,732d8543-8f7e-4316-9a95-da49e403f725.binning_data.json,2026-04-23 21:04:50.619,2026-04-23 21:04:50.619,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2026-04-23 20:54:00.000,732d8543-8f7e-4316-9a95-da49e403f725,
2026-04-24 17:22:00.000,d69c3715-48ba-4d49-842b-3b92b56bfbe4.binning_data.json,2026-04-24 21:44:20.732,2026-04-24 21:44:20.732,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2026-04-24 21:36:00.000,d69c3715-48ba-4d49-842b-3b92b56bfbe4,
2026-04-24 22:30:00.000,43ba5df8-3bfe-429a-a75d-51341e9c3c33.binning_data.json,2026-04-24 23:39:52.229,2026-04-24 23:39:52.229,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2026-04-24 23:30:00.000,43ba5df8-3bfe-429a-a75d-51341e9c3c33,
2026-04-25 16:37:00.000,aca9888a-8816-4af4-9abf-23d81f611092.binning_data.json,2026-04-25 22:11:45.636,2026-04-25 22:11:45.636,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2026-04-25 22:02:00.000,aca9888a-8816-4af4-9abf-23d81f611092,
2026-04-26 18:18:00.000,3109fcad-79a5-4cbc-8bac-37c56b510eff.binning_data.json,2026-04-26 23:32:25.838,2026-04-26 23:32:25.838,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2026-04-26 23:06:00.000,3109fcad-79a5-4cbc-8bac-37c56b510eff,
2026-04-27 16:03:00.000,433acb98-756a-4e08-a593-d21f331c2879.binning_data.json,2026-04-27 20:12:03.145,2026-04-27 20:12:03.145,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2026-04-27 20:00:00.000,433acb98-756a-4e08-a593-d21f331c2879,
2026-04-27 20:23:00.000,04d357ea-d1cf-44ea-9847-8070352c8499.binning_data.json,2026-04-27 22:35:52.548,2026-04-27 22:35:52.548,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2026-04-27 22:09:00.000,04d357ea-d1cf-44ea-9847-8070352c8499,
2026-04-28 17:00:00.000,694a12cf-237f-4b47-97fc-a71c29ee3b86.binning_data.json,2026-04-28 22:03:48.038,2026-04-28 22:03:48.038,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2026-04-28 21:45:00.000,694a12cf-237f-4b47-97fc-a71c29ee3b86,
2026-04-29 17:24:00.000,ec227488-2e62-456c-a2ab-2c1cc3a12467.binning_data.json,2026-04-29 22:52:37.337,2026-04-29 22:52:37.337,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2026-04-29 22:40:00.000,ec227488-2e62-456c-a2ab-2c1cc3a12467,
2026-04-30 17:43:00.000,c38dbfed-ba90-498e-ba44-d29bd49c6a93.binning_data.json,2026-04-30 23:32:59.364,2026-04-30 23:32:59.364,,UTC+0900,SiE8w+zjCP,,com.sec.android.app.shealth,2026-04-30 23:07:00.000,c38dbfed-ba90-498e-ba44-d29bd49c6a93,
