com.samsung.shealth.badge,6320001,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
1,2025-01-25 15:00:00.000,,,1,,2025-01-26 00:29:46.456,2025-01-26 00:29:46.456,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-01-26 14:59:59.999,7f1eef45-86e7-44d7-9f68-623f7651ab0a,
1,2025-01-26 15:00:00.000,,,1,,2025-01-26 23:44:35.083,2025-01-26 23:44:35.083,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-01-27 14:59:59.999,760c2120-95dd-4fe0-b9f5-0ebd7e2c138c,
1,2025-01-30 15:00:00.000,,,1,,2025-01-30 22:38:07.024,2025-01-30 22:38:07.024,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-01-31 14:59:59.999,f0833363-0690-4fd1-9c0e-ff265fc46ceb,
1,2025-02-10 15:00:00.000,,,1,,2025-02-10 23:17:29.440,2025-02-10 23:17:29.440,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-02-11 14:59:59.999,02b2035f-7325-41bd-be87-6b2ead79cee0,
1,2025-02-18 15:00:00.000,,,1,,2025-02-18 23:30:34.823,2025-02-18 23:30:34.823,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-02-19 14:59:59.999,a24a9086-fe2c-416d-87c5-4517ca06bb20,
1,2025-02-19 15:00:00.000,,,1,,2025-02-19 23:11:35.184,2025-02-19 23:11:35.184,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-02-20 14:59:59.999,6aaf6e7e-75d2-468c-8408-449d8bd7ffcc,
1,2025-03-11 15:00:00.000,,,1,,2025-03-11 23:14:16.545,2025-03-11 23:14:16.545,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-03-12 14:59:59.999,c6744217-20ae-443f-9ed4-03c97d30ec62,
1,2025-03-12 15:00:00.000,,,1,,2025-03-12 22:39:08.319,2025-03-12 22:39:08.319,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-03-13 14:59:59.999,9687433e-a243-4b0b-9b60-eba490ecc33b,
1,2025-03-13 15:00:00.000,,,1,,2025-03-13 22:18:51.654,2025-03-13 22:18:51.654,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-03-14 14:59:59.999,7ae63852-675f-4781-861c-85708867f05b,
1,2025-03-16 15:00:00.000,,,1,,2025-03-16 22:44:15.171,2025-03-16 22:44:15.171,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-03-17 14:59:59.999,72261c7e-4729-4576-b4d6-e8d85393efef,
1,2025-03-21 15:00:00.000,,,1,,2025-03-21 23:16:47.333,2025-03-21 23:16:47.333,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-03-22 14:59:59.999,5d4afcb8-2e41-4923-8a8e-8d22f6e98b56,
1,2025-03-24 15:00:00.000,,,1,,2025-03-24 23:03:07.345,2025-03-24 23:03:07.345,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-03-25 14:59:59.999,7df22971-3106-4489-8e30-236b573b757c,
1,2025-03-25 15:00:00.000,,,1,,2025-03-25 23:02:02.139,2025-03-25 23:02:02.139,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-03-26 14:59:59.999,8d93d131-d8b2-43a2-91d4-b5cc5b7cb2b7,
