com.samsung.shealth.calories_burned.details,6320001,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,ccbb3d0e-1722-4bfd-823e-94b178c30904.extra_data.json,,,,0.0,0,2063.7375,,2018-09-08 14:12:42.049,2018-09-08 13:51:18.612,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,ccbb3d0e-1722-4bfd-823e-94b178c30904,1534032000000,
,,06f6e32c-19f0-41be-9c78-914f5fb762bb.extra_data.json,,,,0.0,0,2063.7375,,2018-09-09 08:58:20.164,2018-09-08 13:51:18.802,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,06f6e32c-19f0-41be-9c78-914f5fb762bb,1534118400000,
,,0342a222-4335-4e0c-9122-59e085a4fc50.extra_data.json,,,,0.0,0,2063.7375,,2018-09-10 02:00:18.266,2018-09-08 13:51:18.880,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,0342a222-4335-4e0c-9122-59e085a4fc50,1534204800000,
,,76492509-55cf-4344-bbde-fc9d3292da69.extra_data.json,,,,0.0,0,2063.7375,,2018-09-11 10:06:01.396,2018-09-08 13:51:18.939,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,76492509-55cf-4344-bbde-fc9d3292da69,1534291200000,
,,94cfd594-d91c-4b80-a015-8dbec614d144.extra_data.json,,,,0.0,0,2063.7375,,2018-09-12 03:26:13.864,2018-09-08 13:51:19.022,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,94cfd594-d91c-4b80-a015-8dbec614d144,1534377600000,
,,ff2a2e13-e4f8-4ee0-9316-5fd3e6ab1695.extra_data.json,,,,0.0,0,2063.7375,,2018-09-13 14:24:59.892,2018-09-08 13:51:19.048,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,ff2a2e13-e4f8-4ee0-9316-5fd3e6ab1695,1534464000000,
,,e530f128-b2ce-4d7a-b236-a2742cbaeb6e.extra_data.json,,,,0.0,0,2063.7375,,2018-09-13 14:25:00.042,2018-09-08 13:51:19.085,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,e530f128-b2ce-4d7a-b236-a2742cbaeb6e,1534550400000,
,,f9884b08-9109-4ca4-85fc-46059e3e56de.extra_data.json,,,,0.0,0,2063.7375,,2018-09-15 11:15:12.387,2018-09-08 13:51:19.134,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,f9884b08-9109-4ca4-85fc-46059e3e56de,1534636800000,
,,8093d1b1-0c9d-417c-b8a3-0f402b4ed86a.extra_data.json,,,,0.0,0,2063.7375,,2018-09-16 03:06:44.128,2018-09-08 13:51:19.171,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,8093d1b1-0c9d-417c-b8a3-0f402b4ed86a,1534723200000,
,,855f8c6f-91b0-4099-bb75-91fae6e22b4b.extra_data.json,,,,0.0,0,2063.7375,,2018-09-17 00:30:00.116,2018-09-08 13:51:19.298,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,855f8c6f-91b0-4099-bb75-91fae6e22b4b,1534809600000,
